Comment,Sentiment
a lot of talk about highlights but no highlights typical cbs… talk,negative
adam smith should have been given a red card,negative
after we found out he hadn’t ate for two weeks makes me appreciate the work he does for us more,positive
when i was a kid in the early 90s you could still write a sloppy hand written 4 page letter with crayon drawings and send it to nintendo of america and they would immediately write you back answering every single question you had no matter how dumb it was and complementing your crappy drawings in detail i think my dad might still have some of their response letters in his desk those days are long gone,negative
i don’t disagree we will have to watch but we now have more btc adoption and big money playing with stock market ideals keep up the good work see you soon,positive
girl i just love you you are so fun to watch and to hear what you have to say you are the type of person people are drawn to i believe so glad you had an awesome trip i always wanted to go whale watching in alaska cant wait to see more of your videoskeep up the awesome work,positive
im crying so hard my heart aches because i feel the pressures of the children from narcissistic parents who control their children too much and destroy their self confidence this speech is a breakthrough thank you i love this,positive
“you know when i was a kid i used to think you were cool” this applies to so many companies and people who turned out to be terrible i’ve honestly lost count,negative
perfectly said i’ve been bringing up stuff like this for years and i absolutely despise this double standard you can love their games all you want i certainly do but nintendo as a company is seriously one of the worst in the industry stop discounting everything they do just because you have good memories of them this needs to be fixed not just at nintendo but everywhere,negative
just learning enough moving on and iterating that’s a great tip when learning almost anything i tend to go deeper in one of the initial steps and feel stuck,positive
i love how her food looks so good and she doesnt really make a mess on her mouth when eating and she is kind i love herasmr its the best,positive
i am 50 years old working in the high tech industry mentally tired and sick of the weekly 8 to 5 routine never got a proper day off even through the pandemic hats off to the millenials and genz that think differently and put more weight on living rather than just working,negative
the version we did as kids where i live was honestly a bit weird the direct translation would be three knives to the back blood runs down spiders crawling in your hair snakes round your neck crack an egg on your head and the yolk runs down and then youd usually say boo or something maybe lightly push the person as youre saying it too so yea pretty hardcore for a bunch of 6 year olds lol,negative
man he messed that one up so so bad had a free rook and totally threw his advantage right in the eternal bowels of fire hell,negative
look into how nuclear throne does attack animations it simply teleports the sword from one side of the player to the other while creating a separate slash object which slowly dissipates i’ve used this technique in my current roguelike and it works amazingly well,positive
nikkie starts with the “clean girl” aesthetic base nikkie adds a pound of her most full coverage concealer to make it basically full coverage i expected nothing less  love u nikkie,positive
one of the best thing about dude is that he never takes credit for himself when he achieves something he always request us the audience and his team and he is always polite in all of his videos we congratulations ourselves on this achievement more to come and everything to come,positive
thank you for the recommendations i’m really into ai programming and i want to leave my truck driver job to start as a programmer i’ve working with that about five years ago even been 36 i am definitely going for it,positive
there will never be enough appreciation for the actions that jimmy has taken such a good guy,positive
ps fanboys game pass is full of fodder that no one wants to play also ps fanboys cant wait for life of p,negative
they will absolutely be printing money for the student loan relief lol you don’t think the banks and education systems want their promised loaned money yea right you think they’re just gonna take the hit on this yikes poor take on that tbh,negative
the sad thing about inflation is that even when you get it under control the damage is done and those prices never go back down the market won’t crash until after the midterms i’m putting all of my profits into silver gold bitcoin ethereum and food,negative
just got home from work and listen to your channels music to relieve stress,positive
i can’t even imagine you being an overthinker because of how chilled you are vs me being super neurotic and overthinking everything so it’s good to hear you talk about this  also future wife that is so cute ,positive
amazing lecture suzie and excellent way of taking a stand on the nature of science and how we have used it and how we should use it you could have even talked more about the scientistcivilians sacrificing or loosing their lives after doing experiences with new inventions etc many lives were lost due the lack of safety issues back in the days or just due to not knowing all the side effects etc excellent job suzie i am very amazed by your work and by your wisdom,positive
poor greg the side effects of being vegan is kicking in,negative
nunca envelhece bate na mesma vibe como se fosse a primeira vez,positive
841 i have seen one of those big spiders in my bathroom when my sister was just about to take a bath the spider was just hanging on the corner of our wall,negative
i thought this video was very professionally made i was surprised when i got to the end and saw your subscriber count you definitely deserve more great work on some really good looking games,positive
im in hr and do recruiting and i myself am nervous during interviews and its hilarious thats why when im interviewing others i just wish i could tell them hey its fine youre doing great and when im interviewing i wish i could just listen to my own words of advice,positive
love the video but it brings back painful memories of being a 24 yr old young man with 360 waves putting dax pomade in my hair and now 36 and bald with a beard life comes at you fast ,negative
this woman was born to be a vet you can just tell shes the 1 of kindergarten girls whos living the dream ,positive
for once in a very long time it feels great to be a gooner,positive
remember when they announced hotd first thought “i’ll definitely watch this series with my favorite bar” and here we are ,positive
it is an artistic aesthetic work that accrosses the litrery language and characterized by its owner style,positive
ebaa hora do meu soninho com a natie vc é incrível fofaa,positive
thoughts and prayers to all of usa in waters stay safe from the typhoon belt in the pacific las islas filipinas,positive
nice one sir god blessed for your great explanationsi really need to know more about this class can you talk about the analis and horozontal vertical percentage i want to know more about them even the ratio i want to know more about them even equity these things are important to mesir can you upload tableau and explained how we should use it i have downloaded it but i dont really know how to work on it i need good explanations on it difficult class from the begining of the class thanks so much sir for your great explanations the course is a requirement in most university aslong as you are in the business field you will need to do it i know some students are taking it a lot great explanations sir,positive
im surprised it only took 22 hours to solve the cubes this project is insane well done good sir,positive
adorable animals thank you for sharing ,positive
i ate here as a kid before during and after the filming of this episode my dad is vegan so we went here often the food was always great and the son was who my family usually interacted with he was always super nice you could imagine my surprise when i got older and saw this episode lol i never saw gordon ramsay but i saw the son and staff being interviewed one of the times my family went for breakfast the potato pancake was my favorite on the menu its a shame the restaurant was sold and no longer exists,positive
great sound and vibe reminds me of mid80s college radio,positive
for me it’s simple when i spend a lot of money on something the least i expect is that it’s built to last and from my experience iphones and apple products in general do just that the moment that isn’t the case i’ll have no hesitation in moving on build quality and optimisation is something other rival tech companies fail to prioritise these days i have a collection of broken samsung phones for example not dropped or miss treated just phones that became unusable after a couple of years of use i have an iphone 6s and an iphone xr that work as well now as they did when i first bought them that gives me confidence that i won’t need to upgrade my 13 pro max until within reason i choose to do so,negative
as an international student interview always gives me anxiety however by watching your video and taking from your advice i got 2 job offers as being someone who mostly got rejected now not even one but two thank you very much take care ,positive
funny how democrats always choose the old white man lol,negative
this is what happens when we continue to neglect the environment when our lakes are drying up the only way to stop future tragedies like this is to get on top of our climate issues,negative
so sad i missed the whole stream but this idea is so good lmao i burst out laughing everytime the chat is triggered ,positive
yeah we are most definitely going to inevitably be our own downfall we may have the tools and technology to weather some disasters but we depend so much on the infrastructures we have set up to the point where most people probably wouldnt know what to do without wifi and cellular data let alone weather catastrophic effects on our food sources and supply chains,negative
the script writer deserves an oscar for the dialogue,positive
i recently got myself the impossible cube that you showed at the end there regular rubiks brand and it both popped and had stickers fall off right out of the box i believe they either dont give a shit because theyre still the largest or theyre incompetent,negative
this is amazing  i’m so excited for the future of these science discoveries,positive
i used this plan to build a kitchen cabinet for my friend allmytips i feel proud to have accomplished such a project which she have come to love so much thanks a lot for a collection as this it is quite comprehensive,positive
පක්ෂ 8 පට්ට හෝරැ,positive
one of the two best indian directors,positive
thank you for having me,positive
now i’m positive that ketchup packet has been all over the floor and she’s just lickin all over it ,negative
the perpetual motion simulator is similar to the space wheel that used to sell for about ten dollars used ones on amazon are now going for ten times thatbut theyre still cool,positive
im surprised it only took 22 hours to solve the cubes this project is insane well done good sir,positive
you know if you just spend an extra 1020 you can buy rechargeable batteries for xbox controllers ,positive
when the land is hit by heat waves and dries water usually cant get in and thats a recipe for floods when it rains,negative
her personality sold me  she’s amazing,positive
i can see this being good for editing and streaming reading the chat and playing the game on one screen this is genius,positive
remember all the deleted and bonus episodes a chapter is not actually over until you watch them maybe you didn’t know i really like to watch you react to rise of bangtan but it’s beginning to seem a bit weird to me that you don’t finish a chapter until moving on your reactions always seems genuine but it has made me question wether you actually want to continue this series it’s fair id you don’t this is just so weird sorry,negative
i feel like the 765 doesn’t belong in this list at all almost unfair,negative
excellent sessioneverything about ml is summarised in a single video which provides the complete picture of the elephant,positive
trump the warrant cannot be released because it needs to be audited,negative
adam smith should have been given a red card,negative
dop i love this song,positive
the nessie one was so helpful thank you for zooming in and telling us where it is so we can check it out  the giant crab was debunked as photoshopped,positive
hulk has fought aliens monsters been sent into space been in battles taken on thanos forced into hiding had a split personality and has been hunted and attacked by the military but shehulk was sort of cat called by three guys outside a bar and her boss did some mansplaining early in the episode so her life is in her words infinitely more stressful than real hulk this show is making feminism seem more ridiculous not less also smart hulk sucks aaron american,negative
nice video could you please add timestamps that would be great,positive
the guy got 2500x on €8 and didnt even bat an eye lid when it happened and yet people think this is real cmon,negative
this is amazing  i’m so excited for the future of these science discoveries,positive
shout to you john oliver for giving me a brief trip down memory lane ive been in the telecommunications industry for almost 25 years and my first job was atmci great company that got swallowed up in a horrible merger with worldcom bing it and see how that disaster played out,positive
as a software engineer i still find this fascinating,positive
the sad thing about inflation is that even when you get it under control the damage is done and those prices never go back down the market won’t crash until after the midterms i’m putting all of my profits into silver gold bitcoin ethereum and food,negative
they could have this guy on 1000 times and i’ll still eagerly watch every episode,positive
thank you pete planning a trip and missing a wedding or a funeral no excuse for over selling every flight they need to factor weather in the schedule,negative
well done i live in hawaii and we eat stir fry several times a week this is a very concise video and easy to follow,positive
this owner was one of the only one that i was on his side the whole time he was not egotistic not in denial accepts all the criticisms and opened to change he needs to be saved,positive
thanks so much for this video it was oddly satisfying to watch and i love the animation and animation style this must have taken a long time to make kudos,positive
i have been a fan of dr kaku for decades his knack for breaking down complex subjects into easily understandable terms combined with a refreshing sense of humor makes dr kaku a natural teacher and a pleasure to listen to,positive
im honestly impressed by the time and effort you put into these videos keep it up,positive
nothing brings me more satisfaction than efficiency to think about how all that merchandise is going to be resold and not go into a landfill makes me very happy indeed,positive
natalie you angel thank you so much unknowingly youve helped me create my first piece a very special memorial card for my mumma  not long into your beautifully explained tutorial i had canva open and found it so easy to do what i was stressing about starting for so long again thank you lovely lady ,positive
this introduction for corporate finances is for me i loved the explanation of the business life cycle in the market i like the advisory side of explanations my god this is great sound video to see on you tube i am looking the text book to review this things so i can understand it correctly correct video and accurate explanations nice one mr uploader keep on uploading this things i just love to see how other professors are explaing some of this things about cf nice one,positive
candidates participants i have to train the hardest i ever have to be able to play against magnus for his title magnus,negative
spasky was arguably even more impressive by being a grandmaster of kindness,positive
songs and beautiful subscribersongs and beautiful subscriber,positive
if you think theres just one flaw in millions of lines of code youre optimistic lol,negative
that’s why they suspended him he doesn’t realize the severity of the outcome of the ai he has leaked about its awareness could be very dangerous,negative
damn the cheesecake proved the narrator’s not just a robot capable of occasionally trying out products he showed actual emotion past making a bad joke followed by “i’ll see myself out” kay you’ve done us a great service demonstrating genuine emotion in the be amazed narrator xd,positive
ptr is hundred times in brilliance and in performance than modi and sitaraman excellent speach by tn finance minister a well educated and well known economist we need leaders like him to counter false narratives indian leaders become arrogant the power centers enjoy every thing free for life time from air to airplanes what about the poor,positive
i love you mrbeast youre an inspirationcongratulation on the 100mill,positive
this is terrifying a couple days ago i was just talking to my friend who went to a music festival where the security didnt even check bags she was kinda scared how an event like that could easily be the target of mass shooting,negative
the most fearsome predator of the sea sharks the orca literally torturing other animals for fun am i a joke to you,negative
just a thought russia could do a lot of damage short of causing a meltdown make the reactors unusable contaminate the site etc,negative
“those who can make you believe absurdities can make you commit atrocities” ― voltaire,negative
only trump would call a search warrant unwarranted,negative
thanks for watching what consoles do you currently own,positive
the way tyler abouslutely died trying to do the cheekshaker literally had me wheezing,negative
i still remember that song xd,positive
there’s a part of me that was getting the vibe of old cnd vlogs at the beginning there just seeing the store again brought me back to good times,positive
hey guys can you check out “memu aagamu” the new coke studio track it’s an indiankpop collab featuring allu arjun you will love it for sure ,positive
when this was released in 85 i was in high school and i loved it im here in 2019 still loving it just as much oh how i wish we could go back to the 80s best time ever,positive
tip for the “what’s your weakness” question be sure to offer a weakness that is not directly needed in the job like if you need to be very organized in the job don’t say that as a weakness most people have several weaknesses offer something that is not directly needed in the job you are applying for even if you’re saying it’s something you’ve overcome or you’re working on now you don’t want to offer up a reason not to hire you also be sure to watch your facial expressions you may be super passionate and or just thinking  but you don’t want to come off as angry or frowning smile every once in a while haha much ,negative
218 someone needs to take that glove away before he pokes an eye out,negative
to reach your potential you need to start working towards it investing remains the smartest way to prepare for the unexpected been in the space for 6yrs and extremely pleased with the decision i made the good news is its not too late,positive
i wonder if the harpy calls werent only used to identify primates without a response but to actually wear down their awareness overtime by conditioning them to expect calls before seeing the eagle we might see more of those mixups and mindgames if we observed them in areas where primates lived alongside eagles for more than a year,negative
i have gone through the whole video and am really grateful for the time youve invested in this the vivid pictures and friendly speaking pace were truly refreshing and helped balance the ubiquity of the text cheers from abidjan,positive
i’ve watched this video like 10 times still never gets old,positive
y este bello universo que seguimos hace mas de 10 años sigue mas vivo que nunca  vamos carajo por mas del mcu,positive
rumi a 13th century persian philosophers view on wars wars like childrens fights are meaningless pitiless and contemptible,negative
your channel is really awesome im glad i subscribed your do a very softcore type of trollingminging thats not destructive at all,positive
nice songs,positive
absolutely loved this video glad he got the teachers on it as well bc most classrooms are fully teacher funded bc the school only gives them 200 for classroom supplies and that is nowhere near enough for an entire school year teachers deserve the world ,positive
respekte nga shqipet e tetovës ,positive
the rate at which youre growing is amazing you had 2k subscribers 2 months ago and now you have over 30k wish you the best for the future of this channel,positive
thank you for bringing joy to all of us with your work god bless you  ,positive
i honestly hope that beginning part with the dun dun is actually the intro for the whole series cause thats hilarious,positive
as someone with the correct clearance i can vouch just like so many of you that this guy didnt keep them in a place that meets requirements for storage of such materials also lying about all this is quick dismissal from your clearance ive seen people fail to get adjudicated for omission of one piece of information they thought wasnt important one lost it for keeping in touch with their mother who is from china their contact with their mother caused them to lose their tssci think about that and this guy and his followers think he did nothing wrong the level of failures here by the former president shows he is illequipped to handle said documents now its just one excuse after another day to day with the people who live in the real world of clearance all know that if we did 1 of what he did we be effed time to put your values you claim into action republicans dont claim it only when its convenient,negative
only halfway into the video the way of breaking down the job roles within the industry has been immensely helpful and information friendly to new gamers designers or hopefuls wanting to join the game industry,positive
one of the people that inspired me to do artificial intelligence in areas that matter without coursera i would have not gotten where i am today thank you for this conversation lex,positive
hearing linus say its better than a pc in any way you know its an amazing machine,positive
amazing video theres many elements here that are explained so well looking forward to doing more stuff with tf in the future,positive
komma bhaiya ,positive
i have watched many videos now and this was the best for ai beginners imo thank you,positive
nice songs,positive
still sleek and nice design we have both the pixel 6 and pro versions and both are great really the standard 6 and 7 are plenty of premium phone the pro version is definitely massive,positive
this channel is such a blessing and a goldmine of quality content also loved the soothing background music,positive
targaryans have a history of putting a lot of stock in their dreams the only reasons the house survived the doom of valyria is because one of them had a dream it would happen and they packed up and went to dragonstone even in game of thrones dany had a dream about stepping into the fire that hatched her eggs thats why she did it this is the problem with watching this show and criticizing certain characters without having any book context at all,negative
i feel like he is that one computer coding teacher that actually put it in a way that we understand thanks for the basics ,positive
estou viciada nessa música,positive
i remember my mom had this as her ringtone her phone was ringing in church  memories 2019,positive
dude the fake training tip really does apply to everything i’ve been practicing life drawing every day but just mindlessly putting marks on paper without internalizing new concepts no wonder why i haven’t improved in quite a while thanks for opening my eyes gotham,negative
and barack obamas right it is a big f deal ,negative
the host is absolutely so kind loved the hospitality they showed to our sonny and team ,positive
great content celaine keep up the good work ,positive
when i was drafted in 1964 my starting pay was 99 per month when i got married later that year my wifes allotment of 230 per month was more than twice my base pay and when i was injured in a role as support for a certain civilian agency violating the law in southeast asia i was called a liar and threatened with a court martial i am proud of my service to my country but being in the service ducks,negative
hi kristen i love your design tips my husband is insisting on getting a recliner sofa can i mix them with fabric accent chairs and do the furniture in the living room have to be of same height,positive
ordinarily speaking i knew he’s capable seeing so many recommendations thanks for coming through,positive
before i get into my comment i would like to say thank you i really appreciate that fact that you take the time out of your own day making these incredible useful tiktok s and youtube videos so people can study even though your not making anything off of it back to the point id like to say thank you because right now i’m a freshman and i didn’t really have a motivation to study for the act but when i was scrolling through tik tok i saw a video with a really hard math problem but you made it seem really easy like i could do it in a minute so after that i did more research and found out how important the act really is so i’ve been studying with your youtube and tiktok videos along with other things on the side i still have 2 years before i have to take it but your videos are so entertaining they make me want to learn and get better at math,positive
i remember getting in line for a subway at delhi int airport there was a line of say 6 people of which 4 were nonindians i was getting late and the line seemed huge i was also wondering why so many foreigners were eating vegetarian then one of them got in the front and the cashier told him that the nonveg line was on the other side and then they looked up and spotted that they were standing in the vegetarian line the entire queue moved and i got my sub in time for my flight fun times,positive
greg is so high hes on another planet,positive
this stuff is so interesting my version of the shiveries was so much shorter and had like half of the same elements its cool how much these things change from place to place and time to time,positive
“leave them alone” i absolutely agree another example of the federal government f ing things up,negative
i love how he makes the speedrun feel so alive,positive
i love that elfilin already has stuff in this game forgotten land was just before this so i was really surprised to see the stage as well as the cosmetics,positive
i watched a lots of deep learning tuturials before this some of them were even twice as long as this and yet this explained the best and the most thank you for the awesome tutorial without ads for free you are a hero,positive
daisy dont say hi to lorelei i owe her money pov character goes to lorelei first and gives her a paper that says daisy and nothing else damn we savage,negative
i am literally going to comment on every video you have and i’m going to send you an email to personally thank you this video literally changed my life and changed how i will approach interviews going forward i had a big interview with a big company that was four hours long with four different people in one day me already having my stories written down in the star method making sure i said i in everything and having my stats on how i helped my previous company gave me the confidence i needed to answer any questions that they needed i was also able to dissect my stories to answer other questions that they needed this method is so bullet proof i received a call yesterday that i got the job and i’m so happy i cannot thank you enough,positive
i feel you on the cost of the pro series controller i have one of the series 1 pro controllers which i bought used and frankly i was disappointed that after i had been using it a while the rubber on the sides began to warp and peel i had to buy third party replacement parts to swap out the little plates right there because xbox doesnt offer their own replacement parts which i find kinda lame considering the rubber warping was a fairly common issue to be honest i would prefer if they had an option to buy it with the plastic plates rather than the rubber ones cause that issue isnt going to go away after using the controller for an extended amount of time the paddles are nice and all but i can buy like 3 games for the cost or i can buy a third party controller from scrub for less and get the same functionality out of it but hey to each their own what i would really love is the ability to make a custom pro controller in their design lab i would pay extra for that but as it stands right now ill stick with my standard series x controller ,negative
